id,MAXEN2,pt_num,file_conf
1a07C1,50,34,50
1a0qB1,50,23,50
1a28B1,50,23,2
1a42A1,50,23,50
1a4gA1,50,23,46
1a4kB1,50,31,48
1aaqB1,50,41,50
1abeA1,50,10,2
1abeA2,50,10,2
1abfA1,50,11,13
1abfA2,50,11,13
1acjA1,50,15,2
1aclA1,50,18,50
1acmA1,50,16,50
1aecA1,50,25,50
1ahaA1,50,10,1
1aoeB1,50,20,2
1aptA1,50,35,47
1apuA1,50,31,50
1aqwC1,50,20,50
1aseA1,50,16,6
1atlB1,50,23,50
1azmA1,50,13,5
1b59A1,50,21,50
1b9vA1,50,25,50
1bbpA1,50,43,50
1bgoA1,50,34,50
1bl7A1,50,25,40
1bmaA1,50,37,50
1bmqB1,50,38,49
1bybA1,50,45,47
1c12B1,50,23,50
1c1eB1,50,19,1
1c5cB1,50,22,50
1c5xB1,50,13,3
1c83A1,50,18,50
1cbsA1,50,22,50
1cf8B1,50,33,50
1cilA1,50,19,49
1cinA1,50,18,5
1ckpA1,50,18,3
1coyA1,50,21,3
1cttA1,50,16,2
1d4pB1,50,27,50
1dbbB1,50,23,3
1dbmB1,50,31,50
1dg5A1,50,21,44
1dhfA1,50,32,50
1didB1,50,11,3
1dmpB1,50,40,50
1dr1A1,50,17,2
1dwbB1,50,9,2
1dwcB1,50,35,50
1dwdB1,50,37,50
1dy9A1,50,35,50
1eapB1,50,23,50
1ebgB1,50,9,2
1eedA1,50,45,50
1ei1A1,50,31,50
1ejnA1,50,25,48
1elaA1,50,32,50
1elbA1,50,33,50
1elcA1,50,36,50
1eldA1,50,33,50
1eleA1,50,29,50
1epbA1,50,22,46
1epoA1,50,46,50
1etrB1,50,35,50
1etsB1,50,37,47
1ettB1,50,30,50
1f0rA1,50,31,50
1f0sA1,50,29,50
1f3dB1,50,15,2
1faxA1,50,33,50
1fenA1,50,19,50
1fgiB1,50,22,49
1fl3B1,50,23,50
1flrB1,50,25,3
1frpA1,50,20,50
1ghbC1,50,18,50
1glpB1,50,23,50
1hdyB1,50,6,1
1hefA1,50,48,50
1hfcA1,50,25,49
1hivB1,50,59,50
1hslB1,50,11,18
1htfB1,50,41,50
1htiB1,50,9,6
1hvrB1,50,46,50
1hytA1,50,15,50
1icnA1,50,14,50
1idaB1,50,52,50
1imbA1,50,16,20
1ivcA1,50,15,2
1iveA1,50,14,2
1ivqB1,50,44,50
1lahA1,50,9,50
1lcpA1,50,10,25
1ldmA1,50,6,2
1licA1,50,20,50
1lmoA1,50,29,50
1lnaA1,50,17,49
1lpmA1,50,19,50
1lstA1,50,10,45
1lybB1,50,48,49
1lylA1,50,9,50
1mcqB1,50,21,49
1mdrA1,50,12,4
1ml1B1,50,9,2
1mldC1,50,13,47
1mmbA1,50,32,50
1mmqA1,50,33,50
1mncA1,50,25,50
1mrgA1,50,11,1
1mrkA1,50,19,3
1mtsA1,50,34,50
1mtwA1,50,33,50
1mupA1,50,9,2
1nsdA1,50,20,50
1oklA1,50,17,2
1okmA1,50,18,50
1pbdA1,50,10,3
1pdzA1,50,9,2
1phaA1,50,22,48
1phdA1,50,11,2
1phfA1,50,11,3
1phgA1,50,17,47
1ppcA1,50,37,50
1pphA1,50,30,50
1ppiA1,50,55,50
1psoA1,50,48,50
1ptvA1,50,17,50
1qbrB1,50,54,50
1qbtB1,50,62,50
1qbuB1,50,43,50
1qcfA1,50,21,2
1qh7A1,50,10,2
1ql7A1,50,34,50
1qpeA1,50,21,2
1qpqA1,50,12,2
1rbpA1,50,21,50
1rdsA1,50,20,2
1rneA1,50,51,44
1robA1,50,21,42
1slnA1,50,35,49
1sltA1,50,26,50
1srfA1,50,22,50
1srgA1,50,19,3
1srhA1,50,21,46
1srjB1,50,22,3
1stpA1,50,16,50
1tdbA1,50,21,48
1tmnA1,50,35,50
1tngA1,50,8,4
1tnhA1,50,9,2
1tniA1,50,11,18
1tnlA1,50,10,3
1tphB1,50,10,50
1tppA1,50,15,50
1ulbA1,50,11,1
1uvsB1,50,32,48
1uvtB1,50,27,50
1xidA1,50,12,2
1xkbB1,50,29,50
1ydrA1,50,20,50
1ydsA1,50,18,50
1ydtA1,50,27,50
2ackA1,50,12,2
2adaA1,50,19,3
2cgrB1,50,29,50
2cmdA1,50,13,50
2cppA1,50,11,1
2dblB1,50,30,50
2gbpA1,50,12,37
2h4nA1,50,13,11
2ifbA1,50,18,50
2mcpB1,50,11,33
2mipC1,50,54,50
2mipD2,50,54,50
2pcpB1,50,18,48
2phhA1,50,10,3
2qwkA1,50,20,50
2simA1,50,20,50
2tmnA1,50,13,50
2yhxA1,50,21,44
2ypiA1,50,9,8
3erdA1,50,20,14
3ertA1,50,29,50
3gchC1,50,12,2
3ptbA1,50,9,3
4aahC1,50,24,3
4ctsB1,50,9,2
4er2A1,50,48,47
4estA1,50,36,50
4lbdA1,50,29,50
4phvB1,50,46,50
5abpA1,50,12,49
5abpA2,50,12,38
5cppA1,50,11,1
5er1A1,50,37,50
5p2pB1,50,28,50
6abpA1,50,11,2
7timA1,50,10,50
8gchC1,50,24,50
