lig_id,conf_total,lnp
1a07C1,50,34
1a0qB1,50,23
1a28B1,50,23
1a42A1,50,23
1a4gA1,50,23
1a4kB1,50,31
1aaqB1,50,41
1abeA1,50,10
1abeA2,50,10
1abfA1,50,11
1abfA2,50,11
1acjA1,50,15
1aclA1,50,18
1acmA1,50,16
1aecA1,50,25
1ahaA1,50,10
1aoeB1,50,20
1aptA1,50,35
1apuA1,50,31
1aqwC1,50,20
1aseA1,50,16
1atlB1,50,23
1azmA1,50,13
1b59A1,50,21
1b9vA1,50,25
1bbpA1,50,43
1bgoA1,50,34
1bl7A1,50,25
1bmaA1,50,37
1bmqB1,50,38
1bybA1,50,45
1c12B1,50,23
1c1eB1,50,19
1c5cB1,50,22
1c5xB1,50,13
1c83A1,50,18
1cbsA1,50,22
1cf8B1,50,33
1cilA1,50,19
1cinA1,50,18
1ckpA1,50,18
1coyA1,50,21
1cttA1,50,16
1d4pB1,50,27
1dbbB1,50,23
1dbmB1,50,31
1dg5A1,50,21
1dhfA1,50,32
1didB1,50,11
1dmpB1,50,40
1dr1A1,50,17
1dwbB1,50,9
1dwcB1,50,35
1dwdB1,50,37
1dy9A1,50,35
1eapB1,50,23
1ebgB1,50,9
1eedA1,50,45
1ei1A1,50,31
1ejnA1,50,25
1elaA1,50,32
1elbA1,50,33
1elcA1,50,36
1eldA1,50,33
1eleA1,50,29
1epbA1,50,22
1epoA1,50,46
1etrB1,50,35
1etsB1,50,37
1ettB1,50,30
1f0rA1,50,31
1f0sA1,50,29
1f3dB1,50,15
1faxA1,50,33
1fenA1,50,19
1fgiB1,50,22
1fl3B1,50,23
1flrB1,50,25
1frpA1,50,20
1ghbC1,50,18
1glpB1,50,23
1hdyB1,50,6
1hefA1,50,48
1hfcA1,50,25
1hivB1,50,59
1hslB1,50,11
1htfB1,50,41
1htiB1,50,9
1hvrB1,50,46
1hytA1,50,15
1icnA1,50,14
1idaB1,50,52
1imbA1,50,16
1ivcA1,50,15
1iveA1,50,14
1ivqB1,50,44
1lahA1,50,9
1lcpA1,50,10
1ldmA1,50,6
1licA1,50,20
1lmoA1,50,29
1lnaA1,50,17
1lpmA1,50,19
1lstA1,50,10
1lybB1,50,48
1lylA1,50,9
1mcqB1,50,21
1mdrA1,50,12
1ml1B1,50,9
1mldC1,50,13
1mmbA1,50,32
1mmqA1,50,33
1mncA1,50,25
1mrgA1,50,11
1mrkA1,50,19
1mtsA1,50,34
1mtwA1,50,33
1mupA1,50,9
1nsdA1,50,20
1oklA1,50,17
1okmA1,50,18
1pbdA1,50,10
1pdzA1,50,9
1phaA1,50,22
1phdA1,50,11
1phfA1,50,11
1phgA1,50,17
1ppcA1,50,37
1pphA1,50,30
1ppiA1,50,55
1psoA1,50,48
1ptvA1,50,17
1qbrB1,50,54
1qbtB1,50,62
1qbuB1,50,43
1qcfA1,50,21
1qh7A1,50,10
1ql7A1,50,34
1qpeA1,50,21
1qpqA1,50,12
1rbpA1,50,21
1rdsA1,50,20
1rneA1,50,51
1robA1,50,21
1slnA1,50,35
1sltA1,50,26
1srfA1,50,22
1srgA1,50,19
1srhA1,50,21
1srjB1,50,22
1stpA1,50,16
1tdbA1,50,21
1tmnA1,50,35
1tngA1,50,8
1tnhA1,50,9
1tniA1,50,11
1tnlA1,50,10
1tphB1,50,10
1tppA1,50,15
1ulbA1,50,11
1uvsB1,50,32
1uvtB1,50,27
1xidA1,50,12
1xkbB1,50,29
1ydrA1,50,20
1ydsA1,50,18
1ydtA1,50,27
2ackA1,50,12
2adaA1,50,19
2cgrB1,50,29
2cmdA1,50,13
2cppA1,50,11
2dblB1,50,30
2gbpA1,50,12
2h4nA1,50,13
2ifbA1,50,18
2mcpB1,50,11
2mipC1,50,54
2mipD2,50,54
2pcpB1,50,18
2phhA1,50,10
2qwkA1,50,20
2simA1,50,20
2tmnA1,50,13
2yhxA1,50,21
2ypiA1,50,9
3erdA1,50,20
3ertA1,50,29
3gchC1,50,12
3ptbA1,50,9
4aahC1,50,24
4ctsB1,50,9
4er2A1,50,48
4estA1,50,36
4lbdA1,50,29
4phvB1,50,46
5abpA1,50,12
5abpA2,50,12
5cppA1,50,11
5er1A1,50,37
5p2pB1,50,28
6abpA1,50,11
7timA1,50,10
8gchC1,50,24
