rot 6.28
tra 0.1
temperature 0.5
total steps 8000
step,etot,elhm,ekde,edst,eele,epmf,ehpc,ehdb,epsp,evdw
0,-3.42814e-05,2.57114,0,63.2145,6.76613e-07,45.776,0.128438,0,0,-3.42814e-05
1,-4.16701e-05,2.56564,0,63.4811,6.32469e-06,45.776,0.128438,0,0,-4.16701e-05
2,-0.0001633,2.3047,0,48.2837,1.18147e-05,45.776,0.128438,0,0,-0.0001633
3,-0.993577,1.71994,0,19.8599,-0.00130719,41.616,1.01028,-0.275983,-0.0111594,-0.993577
4,-3.24597e-06,2.99912,0,95.0064,-4.35247e-05,45.776,0.128438,0,0,-3.24597e-06
5,-3.152e-06,3.10245,0,97.0302,-6.40698e-05,45.776,0.128438,0,0,-3.152e-06
6,-2.05396e-06,3.09088,0,97.6488,-2.37742e-05,45.776,0.128438,0,0,-2.05396e-06
7,-0.000191201,2.31668,0,46.7547,-6.29036e-06,45.776,0.128438,0,0,-0.000191201
8,-5.84324e-05,2.53783,0,58.0661,-1.90272e-06,45.776,0.128438,0,0,-5.84324e-05
9,-5.9724e-06,2.93238,0,81.3275,8.64487e-08,45.776,0.128438,0,0,-5.9724e-06
10,-0.00202558,2.02651,0,38.6445,-8.50417e-07,45.776,0.128438,-1.68156e-44,0,-0.00202558
11,-8.31601e-06,2.81842,0,75.592,-1.07211e-06,45.776,0.128438,0,0,-8.31601e-06
12,-1.64035e-08,3.83528,0,211.867,-3.69616e-07,45.776,0.128438,0,0,-1.64035e-08
13,-3.87028e-09,4.08188,0,269.606,-2.93888e-07,45.776,0.128438,0,0,-3.87028e-09
14,-3.79774e-11,4.84834,0,582.17,-1.33352e-07,45.776,0.128438,0,0,-3.79774e-11
15,-4.85882e-13,5.57246,0,1203.87,-6.5996e-08,45.776,0.128438,0,0,-4.85882e-13
16,-9.35193e-07,3.16653,0,109.248,-7.37316e-07,45.776,0.128438,0,0,-9.35193e-07
17,-1.64008e-06,3.08416,0,98.7612,-8.12065e-07,45.776,0.128438,0,0,-1.64008e-06
18,-1.29075e-05,2.80837,0,71.2118,-1.0479e-06,45.776,0.128438,0,0,-1.29075e-05
19,-3.60715e-08,3.69003,0,187.474,-4.27693e-07,45.776,0.128438,0,0,-3.60715e-08
20,-6.19283e-09,4.01411,0,248.799,-3.11418e-07,45.776,0.128438,0,0,-6.19283e-09
21,-9.46224e-11,4.70167,0,499.245,-1.56207e-07,45.776,0.128438,0,0,-9.46224e-11
22,-3.711e-10,4.46048,0,399.998,-2.00909e-07,45.776,0.128438,0,0,-3.711e-10
23,-0.000265961,2.39241,0,45.3742,-1.607e-06,45.776,0.128438,0,0,-0.000265961
24,-3.70688e-05,2.66825,0,61.4694,-1.19802e-06,45.776,0.128438,0,0,-3.70688e-05
25,-0.00420974,2.14137,0,34.4382,-2.21011e-06,45.7759,0.128438,-2.80993e-28,0,-0.00420974
26,-0.000324117,2.35391,0,43.703,-1.66979e-06,45.776,0.128438,0,0,-0.000324117
27,-2.05877e-07,3.44685,0,139.073,-5.52585e-07,45.776,0.128438,0,0,-2.05877e-07
28,-0.000289565,2.32162,0,49.2676,-1.69828e-06,45.776,0.128438,0,0,-0.000289565
29,-3.6041e-07,3.33186,0,126.854,-6.30479e-07,45.776,0.128438,0,0,-3.6041e-07
30,-1.44375e-07,3.47964,0,147.103,-5.41759e-07,45.776,0.128438,0,0,-1.44375e-07
31,-4.75778e-08,3.65448,0,177.531,-4.42302e-07,45.776,0.128438,0,0,-4.75778e-08
32,-3.01933e-07,3.35795,0,132.237,-6.13543e-07,45.776,0.128438,0,0,-3.01933e-07
33,-0.022905,1.97895,0,30.0646,-2.23767e-06,45.256,0.128438,-1.37516e-17,0,-0.022905
34,-6.62057e-05,2.48628,0,53.8547,-1.55584e-06,45.776,0.128438,0,0,-6.62057e-05
35,-6.33705e-05,2.57437,0,55.7978,-1.3266e-06,45.776,0.128438,0,0,-6.33705e-05
36,-1.30369e-07,3.47388,0,151.858,-5.33614e-07,45.776,0.128438,0,0,-1.30369e-07
37,-2.49416e-07,3.36689,0,136.894,-5.93207e-07,45.776,0.128438,0,0,-2.49416e-07
