rot 6.28
tra 1
temperature 0.5
total steps 12000
step,etot,elhm,ekde,edst,eele,epmf,ehpc,ehdb,epsp,evdw
0,-1.60124e-05,2.72886,0,67.9542,-1.49442e-05,45.776,0.128438,0,0,-1.60124e-05
1,-5.11975e-05,2.52482,0,56.9714,-3.05397e-05,45.776,0.128438,0,0,-5.11975e-05
2,-1.58268e-05,2.69286,0,70.9324,2.2398e-08,45.776,0.128438,0,0,-1.58268e-05
3,-0.00163087,2.10665,0,39.058,-5.05455e-05,45.776,0.128438,-2.70529e-40,0,-0.00163087
4,-0.0144531,1.92112,0,35.1579,1.58921e-05,45.3064,0.128445,-2.71584e-16,0,-0.0144531
5,-0.00280895,2.21801,0,38.1003,2.63991e-05,45.776,0.128438,0,0,-0.00280895
6,-7.31335e-06,2.90885,0,79.1453,3.2968e-06,45.776,0.128438,0,0,-7.31335e-06
7,-0.00117684,2.14418,0,43.1265,1.73411e-05,45.776,0.128438,0,0,-0.00117684
8,-0.000364765,2.1167,0,40.8723,6.09235e-06,45.776,0.128438,0,0,-0.000364765
9,-9.51352e-06,2.81076,0,76.1132,-2.15881e-05,45.776,0.128438,0,0,-9.51352e-06
10,-8.91497e-06,2.79815,0,77.2195,-2.30687e-05,45.776,0.128438,0,0,-8.91497e-06
11,-0.000323927,2.29257,0,49.2121,1.08383e-05,45.776,0.128438,0,0,-0.000323927
12,-8.58319e-06,2.80164,0,79.0879,3.44476e-06,45.776,0.128438,0,0,-8.58319e-06
13,-0.000119437,2.3948,0,54.0722,6.10302e-06,45.776,0.128438,0,0,-0.000119437
14,-5.85047e-06,2.92905,0,81.3241,1.7409e-06,45.776,0.128438,0,0,-5.85047e-06
15,-2.39447e-05,2.62649,0,63.7248,-2.62489e-05,45.776,0.128438,0,0,-2.39447e-05
16,-1.29197e-05,2.73172,0,70.4582,-2.31967e-05,45.776,0.128438,0,0,-1.29197e-05
17,-2.98345e-05,2.62021,0,64.2663,-2.74544e-05,45.776,0.128438,0,0,-2.98345e-05
18,-5.498e-05,2.46568,0,56.4832,-8.68167e-06,45.776,0.128438,0,0,-5.498e-05
19,-8.71809e-06,2.88353,0,77.0598,2.88703e-06,45.776,0.128438,0,0,-8.71809e-06
20,-0.000939738,1.945,0,29.9981,-6.62742e-07,45.776,0.128438,0,0,-0.000939738
