rot 6.28
tra 1
temperature 0.5
total steps 12000
step,etot,elhm,ekde,edst,eele,epmf,ehpc,ehdb,epsp,evdw
5,-2.32402e-05,2.59806,0,65.5141,-1.85197e-06,45.776,0.128438,0,0,-2.32402e-05
6,-0.267667,1.92381,0,26.1078,1.2728e-05,43.7779,0.264363,-0.0338554,0,-0.267667
7,-0.0459184,1.56196,0,16.9836,1.46145e-05,41.8996,0.127557,-1.80036e-08,0,-0.0459184
8,-1.3196e-06,3.10018,0,105.305,1.28255e-06,45.776,0.128438,0,0,-1.3196e-06
9,-3.45156e-05,2.66798,0,61.1853,3.2041e-06,45.776,0.128438,0,0,-3.45156e-05
10,-1.40751e-06,3.11019,0,101.541,-3.00054e-07,45.776,0.128438,0,0,-1.40751e-06
11,-8.33476e-08,3.59175,0,161.527,1.8521e-07,45.776,0.128438,0,0,-8.33476e-08
12,-1.96053e-06,3.0868,0,95.6322,3.60545e-09,45.776,0.128438,0,0,-1.96053e-06
13,-6.44488e-08,3.60235,0,171.675,-1.07109e-07,45.776,0.128438,0,0,-6.44488e-08
14,-3.94677e-07,3.3109,0,124.787,-5.60553e-07,45.776,0.128438,0,0,-3.94677e-07
15,-6.29976e-06,2.87448,0,76.9421,-7.20878e-07,45.776,0.128438,0,0,-6.29976e-06
16,-2.76507e-05,2.62103,0,66.8493,-9.52401e-07,45.776,0.128438,0,0,-2.76507e-05
17,-1.08287,1.14565,0,17.7189,2.74561e-05,37.8672,0.129911,-0.270853,0,-1.08287
20,-0.0209392,1.70312,0,20.5059,-4.62488e-06,44.7431,0.128438,-2.76401e-17,0,-0.0209392
21,-1.27341e-06,3.1223,0,103.122,-7.77303e-07,45.776,0.128438,0,0,-1.27341e-06
22,-1.46254e-08,3.84956,0,216.394,-3.61997e-07,45.776,0.128438,0,0,-1.46254e-08
23,-8.32016e-08,3.55936,0,161.402,-4.93388e-07,45.776,0.128438,0,0,-8.32016e-08
24,-5.54595e-07,3.26165,0,118.815,-6.7304e-07,45.776,0.128438,0,0,-5.54595e-07
25,-2.08018e-07,3.423,0,138.911,-5.60024e-07,45.776,0.128438,0,0,-2.08018e-07
26,-5.05148e-09,4.02754,0,257.524,-3.09741e-07,45.776,0.128438,0,0,-5.05148e-09
27,-2.03543e-06,3.07336,0,99.2496,-8.15467e-07,45.776,0.128438,0,0,-2.03543e-06
28,-1.10608,0.85936,3.85386e-35,13.3588,-8.40074e-06,42.8266,0.224293,-0.428303,0.398017,-1.10608
35,-5.34874e-05,2.49177,0,59.1995,-1.37704e-06,45.776,0.128438,0,0,-5.34874e-05
36,-3.82211e-05,2.54266,0,57.573,-1.43894e-06,45.776,0.128438,0,0,-3.82211e-05
37,-0.000198098,2.34148,0,51.3039,-1.59428e-06,45.776,0.128438,0,0,-0.000198098
38,-2.4687e-05,2.64514,0,63.109,-1.30455e-06,45.776,0.128438,0,0,-2.4687e-05
39,-0.00119061,1.92989,0,35.3026,-2.55549e-06,45.776,0.128438,0,0,-0.00119061
40,-0.318944,1.80359,0,22.8562,-3.06276e-06,43.0837,0.134882,-0.00435838,0,-0.318944
43,-1.52943e-05,2.72445,0,73.8229,-1.11154e-06,45.776,0.128438,0,0,-1.52943e-05
44,-3.33436e-05,2.65006,0,61.33,-1.24799e-06,45.776,0.128438,0,0,-3.33436e-05
45,-3.82756e-07,3.35388,0,126.402,-6.21466e-07,45.776,0.128438,0,0,-3.82756e-07
46,-1.31546e-09,4.26775,0,321.885,-2.442e-07,45.776,0.128438,0,0,-1.31546e-09
47,-1.41413e-06,3.10033,0,101.179,-7.9397e-07,45.776,0.128438,0,0,-1.41413e-06
48,-1.43423e-05,2.75343,0,69.9708,-1.17579e-06,45.776,0.128438,0,0,-1.43423e-05
49,-2.31614e-06,2.99356,0,95.546,-8.46355e-07,45.776,0.128438,0,0,-2.31614e-06
50,-0.892873,1.66566,0,22.6597,-8.13622e-06,43.8094,1.00899,-0.330336,0,-0.892873
54,-3.16278e-06,2.93503,0,89.2591,-9.34945e-07,45.776,0.128438,0,0,-3.16278e-06
55,-0.00256021,1.49267,0,19.8395,-3.78605e-06,45.776,0.128438,0,0,-0.00256021
56,-0.000309325,2.36389,0,46.987,-1.73026e-06,45.776,0.128438,0,0,-0.000309325
57,-1.66387,0.82496,1.2471e-27,8.72373,-6.90107e-06,38.9521,6.45022,-0.154582,-0.223412,-1.66387
100,-0.853683,1.02586,6.72874e-31,16.0696,-6.28928e-06,36.4258,0.140865,-0.0695429,0.227491,-0.853683
102,-0.00198672,1.90247,0,30.9556,-2.67513e-06,45.776,0.128438,0,0,-0.00198672
103,-7.19573e-05,2.49653,0,52.3516,-1.53721e-06,45.776,0.128438,0,0,-7.19573e-05
104,-3.88966e-07,3.29676,0,126.931,-6.28404e-07,45.776,0.128438,0,0,-3.88966e-07
105,-6.51898e-08,3.60986,0,168.319,-4.71409e-07,45.776,0.128438,0,0,-6.51898e-08
106,-5.80096e-09,4.00731,0,251.796,-3.11697e-07,45.776,0.128438,0,0,-5.80096e-09
107,-1.38589e-07,3.49456,0,150.426,-5.29718e-07,45.776,0.128438,0,0,-1.38589e-07
