rot 6.28
tra 1
temperature 0.5
total steps 12000
step,etot,elhm,ekde,edst,eele,epmf,ehpc,ehdb,epsp,evdw
0,-0.00864571,1.82016,0,31.5908,-2.87317e-05,44.9545,0.128546,-2.92789e-15,0,-0.00864571
1,-1.77807e-05,2.74616,0,66.6735,4.62693e-06,45.776,0.128438,0,0,-1.77807e-05
2,-0.0918014,1.79562,0,27.1846,6.18139e-05,42.7689,0.130376,-2.18289e-05,0,-0.0918014
3,-0.00473535,1.40777,0,17.7888,0.000114286,45.7689,0.128438,-2.25693e-41,0,-0.00473535
6,-5.01815e-06,2.89246,0,82.5179,-1.1819e-06,45.776,0.128438,0,0,-5.01815e-06
7,-7.34142e-06,2.86653,0,77.5595,-2.55882e-06,45.776,0.128438,0,0,-7.34142e-06
8,-0.000654451,2.22568,0,40.5513,-2.24136e-06,45.776,0.128438,0,0,-0.000654451
9,-8.708e-06,2.78735,0,78.4633,-3.93375e-06,45.776,0.128438,0,0,-8.708e-06
10,-0.0274393,1.31709,0,19.8368,-7.56502e-06,46.596,0.128438,-4.67586e-18,0,-0.0274393
11,-0.000643945,1.95735,0,36.0193,-5.67556e-06,45.776,0.128438,0,0,-0.000643945
12,-1.13609e-05,2.75311,0,71.7435,-1.38407e-06,45.776,0.128438,0,0,-1.13609e-05
13,-0.00214875,1.90387,0,32.7189,-5.66595e-06,45.776,0.128438,0,0,-0.00214875
14,-0.00438487,1.37006,0,17.0192,1.36755e-05,45.776,0.128438,0,0,-0.00438487
15,-2.13294e-05,2.64305,0,63.554,-1.19782e-06,45.776,0.128438,0,0,-2.13294e-05
16,-3.60728e-05,2.52494,0,58.4784,-1.59299e-06,45.776,0.128438,0,0,-3.60728e-05
17,-2.67648e-05,2.64669,0,61.4607,-2.10323e-06,45.776,0.128438,0,0,-2.67648e-05
18,-0.081371,1.86589,0,26.6557,3.91312e-06,42.8149,0.128438,-1.8e-09,0,-0.081371
19,-1.37667e-05,2.74872,0,68.2596,-1.93823e-06,45.776,0.128438,0,0,-1.37667e-05
21,-5.70413e-06,2.88614,0,79.8742,-9.86878e-07,45.776,0.128438,0,0,-5.70413e-06
22,-4.3074e-05,2.62671,0,59.8193,-9.1799e-07,45.776,0.128438,0,0,-4.3074e-05
23,-0.00125242,2.15226,0,38.191,-7.53591e-07,45.776,0.128438,0,0,-0.00125242
24,-6.71757e-06,2.84813,0,78.5514,-1.04045e-06,45.776,0.128438,0,0,-6.71757e-06
25,-5.94564e-05,2.57352,0,56.8839,-8.95145e-07,45.776,0.128438,0,0,-5.94564e-05
26,-1.23499e-05,2.74846,0,70.4568,-1.11903e-06,45.776,0.128438,0,0,-1.23499e-05
27,-5.46185e-06,2.93873,0,81.8412,-8.97845e-07,45.776,0.128438,0,0,-5.46185e-06
28,-1.39861e-05,2.73716,0,70.4958,-1.02343e-06,45.776,0.128438,0,0,-1.39861e-05
29,-0.0097684,1.26136,0,17.6105,3.41863e-05,45.7726,0.128438,-5.9605e-27,0,-0.0097684
30,-0.000710587,2.09403,0,39.7336,-1.63819e-06,45.776,0.128438,0,0,-0.000710587
31,-6.48697e-05,2.4373,0,55.7902,-9.49932e-07,45.776,0.128438,0,0,-6.48697e-05
32,-7.42114e-06,2.82386,0,78.3181,-1.02254e-06,45.776,0.128438,0,0,-7.42114e-06
33,-0.000837799,1.93487,0,35.4392,1.09228e-06,45.776,0.128438,0,0,-0.000837799
34,-8.04062e-06,2.85168,0,75.6074,-1.03362e-06,45.776,0.128438,0,0,-8.04062e-06
35,-1.82593e-05,2.72335,0,66.9311,-1.15403e-06,45.776,0.128438,0,0,-1.82593e-05
36,-2.23314,1.38975,0,16.6836,-7.21302e-06,50.3091,0.179496,-0.642612,0,-2.23314
37,-6.35309e-05,2.44125,0,56.4318,-1.09421e-06,45.776,0.128438,0,0,-6.35309e-05
38,-6.02906e-06,2.84627,0,82.4815,-9.50132e-07,45.776,0.128438,0,0,-6.02906e-06
39,-0.0065372,2.02739,0,32.4346,5.89661e-06,45.7761,0.128438,-1.23617e-25,0,-0.0065372
40,-1.45402e-05,2.77391,0,69.5349,-1.05691e-06,45.776,0.128438,0,0,-1.45402e-05
41,-1.69735e-05,2.68496,0,66.0173,-8.1262e-07,45.776,0.128438,0,0,-1.69735e-05
42,-2.08708e-05,2.6462,0,68.7331,-9.86865e-07,45.776,0.128438,0,0,-2.08708e-05
43,-0.00256233,1.68854,0,28.164,4.09719e-06,45.776,0.128438,-2.67872e-41,0,-0.00256233
44,-0.000372596,2.10506,0,37.3965,3.00804e-06,45.776,0.128438,0,0,-0.000372596
45,-0.000246167,2.17632,0,41.5052,7.61086e-07,45.776,0.128438,0,0,-0.000246167
46,-1.56747e-05,2.69111,0,71.67,-1.05583e-06,45.776,0.128438,0,0,-1.56747e-05
47,-1.09094e-05,2.7423,0,72.1527,-1.14277e-06,45.776,0.128438,0,0,-1.09094e-05
48,-0.000111143,2.52334,0,52.8318,-7.12147e-07,45.776,0.128438,0,0,-0.000111143
49,-1.25189e-05,2.74678,0,72.6155,-1.11235e-06,45.776,0.128438,0,0,-1.25189e-05
50,-0.000563488,2.15512,0,43.3676,-1.81392e-06,45.776,0.128438,0,0,-0.000563488
51,-8.16913e-05,2.43873,0,50.2839,-7.06918e-07,45.776,0.128438,0,0,-8.16913e-05
52,-3.19548e-05,2.58265,0,60.8706,-1.4073e-06,45.776,0.128438,0,0,-3.19548e-05
53,-9.36572e-06,2.78013,0,76.0174,-1.03137e-06,45.776,0.128438,0,0,-9.36572e-06
54,-6.43256e-06,2.8709,0,78.1774,-9.91965e-07,45.776,0.128438,0,0,-6.43256e-06
55,-0.00013248,2.48687,0,50.3087,-1.44623e-06,45.776,0.128438,0,0,-0.00013248
56,-0.000411424,2.22655,0,43.3649,2.62174e-08,45.776,0.128438,0,0,-0.000411424
57,-0.000306042,2.17872,0,41.6925,2.6151e-07,45.776,0.128438,0,0,-0.000306042
58,-0.00033263,2.30563,0,44.8695,-1.16185e-06,45.776,0.128438,0,0,-0.00033263
59,-4.5742e-05,2.57973,0,59.1796,-1.10932e-06,45.776,0.128438,0,0,-4.5742e-05
60,-6.84712e-06,2.82624,0,81.3364,-9.48316e-07,45.776,0.128438,0,0,-6.84712e-06
61,-1.52077e-05,2.69367,0,70.8958,-1.09846e-06,45.776,0.128438,0,0,-1.52077e-05
62,-2.12269,1.31282,0,17.2005,0.000175447,35.0159,0.756128,-0.475756,0,-2.12269
63,-2.82582e-05,2.60478,0,61.251,-1.03951e-06,45.776,0.128438,0,0,-2.82582e-05
64,-1.04543e-05,2.7341,0,74.6353,-1.00675e-06,45.776,0.128438,0,0,-1.04543e-05
65,-1.15661e-05,2.72979,0,73.0122,-1.10696e-06,45.776,0.128438,0,0,-1.15661e-05
66,-6.58109e-05,2.47988,0,58.7602,-1.0853e-06,45.776,0.128438,0,0,-6.58109e-05
67,-2.10384e-05,2.74363,0,66.5689,-1.05767e-06,45.776,0.128438,0,0,-2.10384e-05
68,-0.00441101,1.81108,0,23.8041,1.11024e-05,45.7816,0.128438,-6.70424e-34,0,-0.00441101
69,-0.000154269,2.41582,0,46.6634,-5.13854e-07,45.776,0.128438,0,0,-0.000154269
70,-0.00691327,1.9556,0,30.5302,-3.87682e-06,45.776,0.128438,-4.38326e-42,0,-0.00691327
71,-0.000285058,2.41525,0,46.6023,-1.1169e-06,45.776,0.128438,0,0,-0.000285058
72,-1.45654e-05,2.71214,0,72.8542,-1.00399e-06,45.776,0.128438,0,0,-1.45654e-05
73,-5.71302e-06,2.8456,0,82.966,-9.60238e-07,45.776,0.128438,0,0,-5.71302e-06
74,-0.00387841,1.92817,0,27.1401,1.55047e-06,45.7759,0.128438,-1.24881e-29,0,-0.00387841
75,-8.58781e-06,2.79605,0,75.7134,-1.07269e-06,45.776,0.128438,0,0,-8.58781e-06
76,-0.000307181,2.28381,0,48.9019,-5.15186e-07,45.776,0.128438,0,0,-0.000307181
77,-0.000211918,2.24867,0,47.0186,-1.87304e-06,45.776,0.128438,0,0,-0.000211918
78,-8.52482e-06,2.78176,0,76.1807,-1.08696e-06,45.776,0.128438,0,0,-8.52482e-06
79,-5.0402e-06,2.95318,0,83.0819,-8.71555e-07,45.776,0.128438,0,0,-5.0402e-06
80,-1.31218e-05,2.73136,0,69.0286,-9.01722e-07,45.776,0.128438,0,0,-1.31218e-05
81,-6.86133e-06,2.81129,0,78.8077,-1.05215e-06,45.776,0.128438,0,0,-6.86133e-06
