rot 6.28
tra 0.05
temperature 0.5
total steps 12000
step,etot,elhm,ekde,edst,eele,epmf,ehpc,ehdb,epsp,evdw
0,-4.09809e-05,2.62655,0,60.2523,-9.25772e-06,45.776,0.128438,0,0,-4.09809e-05
1,-7.47206e-06,2.8384,0,79.0144,-1.8674e-05,45.776,0.128438,0,0,-7.47206e-06
2,-8.54623e-05,2.43951,0,49.9449,-1.41778e-05,45.776,0.128438,0,0,-8.54623e-05
3,-4.22335e-05,2.51946,0,57.3047,-2.79476e-05,45.776,0.128438,0,0,-4.22335e-05
4,-0.00259379,2.08302,0,36.6696,-4.31622e-05,45.7747,0.128438,-1.00713e-32,0,-0.00259379
5,-1.04813e-05,2.76592,0,75.3062,-2.37547e-05,45.776,0.128438,0,0,-1.04813e-05
6,-7.99736e-05,2.52763,0,53.2471,-8.59057e-06,45.776,0.128438,0,0,-7.99736e-05
7,-2.02294e-07,3.40276,0,141.5,-3.44739e-07,45.776,0.128438,0,0,-2.02294e-07
8,-5.80846e-07,3.23017,0,119.886,-2.02539e-06,45.776,0.128438,0,0,-5.80846e-07
9,-2.93872e-06,3.00938,0,89.5009,-5.00339e-06,45.776,0.128438,0,0,-2.93872e-06
10,-9.09069e-05,2.29167,0,48.649,-4.55874e-06,45.776,0.128438,0,0,-9.09069e-05
11,-1.09371e-05,2.59473,0,60.5892,-1.04735e-06,45.776,0.128438,0,0,-1.09371e-05
12,-4.53431e-06,2.96906,0,92.4405,-7.17052e-07,45.776,0.128438,0,0,-4.53431e-06
13,-6.75498e-06,2.97307,0,89.2264,-6.99026e-07,45.776,0.128438,0,0,-6.75498e-06
14,-3.44576e-06,3.02801,0,90.2966,-7.66152e-07,45.776,0.128438,0,0,-3.44576e-06
15,-6.23808e-05,2.62785,0,59.3705,-1.08808e-06,45.776,0.128438,0,0,-6.23808e-05
16,-2.74158e-05,2.68907,0,63.4352,-1.1947e-06,45.776,0.128438,0,0,-2.74158e-05
17,-5.51545e-05,2.60812,0,57.4388,-1.28134e-06,45.776,0.128438,0,0,-5.51545e-05
18,-0.176181,1.75675,0,26.4227,-4.57114e-06,43.4799,0.124584,-2.7088e-05,0,-0.176181
19,-1.54425e-06,3.06854,0,98.9,-8.1244e-07,45.776,0.128438,0,0,-1.54425e-06
20,-3.27646e-06,2.93524,0,90.3563,-8.90697e-07,45.776,0.128438,0,0,-3.27646e-06
21,-0.000888789,1.99576,0,31.4418,-2.60117e-06,45.776,0.128438,0,0,-0.000888789
22,-0.190039,0.523186,1.06989e-07,8.52828,-8.35375e-06,41.6645,0.155778,-0.00343844,0,-0.190039
23,-3.47163e-05,2.66147,0,60.8604,-1.21547e-06,45.776,0.128438,0,0,-3.47163e-05
24,-1.02297e-05,2.7695,0,71.8386,-1.10571e-06,45.776,0.128438,0,0,-1.02297e-05
25,-2.94485e-05,2.67289,0,61.9033,-1.20021e-06,45.776,0.128438,0,0,-2.94485e-05
26,-4.04673e-05,2.50734,0,59.5468,-1.3516e-06,45.776,0.128438,0,0,-4.04673e-05
27,-0.00782855,2.08611,0,34.2456,-2.53281e-06,45.776,0.128438,-3.64165e-37,0,-0.00782855
28,-2.95336e-06,2.96214,0,87.1623,-9.23499e-07,45.776,0.128438,0,0,-2.95336e-06
29,-9.59355e-05,2.21318,0,40.2789,-1.87422e-06,45.776,0.128438,0,0,-9.59355e-05
30,-3.7304e-06,2.90437,0,87.571,-9.44757e-07,45.776,0.128438,0,0,-3.7304e-06
31,-3.83941e-05,2.54615,0,62.4695,-1.29669e-06,45.776,0.128438,0,0,-3.83941e-05
32,-1.22089e-05,2.73332,0,70.9418,-1.19063e-06,45.776,0.128438,0,0,-1.22089e-05
33,-4.07702e-05,2.52233,0,59.3198,-1.47846e-06,45.776,0.128438,0,0,-4.07702e-05
34,-0.077904,0.660345,4.34567e-17,7.45621,-6.15117e-06,43.5313,0.128438,-1.0627e-13,0,-0.077904
35,-3.2571e-05,2.59519,0,65.074,-1.24052e-06,45.776,0.128438,0,0,-3.2571e-05
36,-0.0343768,1.57713,0,24.7375,-5.23337e-06,42.4407,0.126974,-2.07009e-06,0,-0.0343768
37,-0.000606668,2.09475,0,35.9511,-2.45874e-06,45.776,0.128438,0,0,-0.000606668
38,-4.2879e-05,2.5266,0,61.4272,-1.34337e-06,45.776,0.128438,0,0,-4.2879e-05
39,-0.000820415,2.16233,0,38.4589,-2.35486e-06,45.776,0.128438,0,0,-0.000820415
40,-5.22383e-05,2.51944,0,55.253,-1.49551e-06,45.776,0.128438,0,0,-5.22383e-05
41,-5.35547e-06,2.84779,0,82.5158,-9.69719e-07,45.776,0.128438,0,0,-5.35547e-06
42,-3.36102e-05,2.48646,0,53.8594,-1.47715e-06,45.776,0.128438,0,0,-3.36102e-05
43,-6.97061e-08,3.59142,0,166.974,-4.77976e-07,45.776,0.128438,0,0,-6.97061e-08
44,-2.00058e-06,3.02549,0,96.8312,-8.60296e-07,45.776,0.128438,0,0,-2.00058e-06
45,-0.501507,0.640306,0.00112251,2.63392,-8.16825e-06,40.4308,0.128728,-0.00455755,0,-0.501507
46,-2.59673e-05,2.59309,0,63.4472,-1.2951e-06,45.776,0.128438,0,0,-2.59673e-05
47,-1.07347e-05,2.78683,0,74.0196,-1.09977e-06,45.776,0.128438,0,0,-1.07347e-05
48,-0.729648,1.11985,0,11.8856,-5.34091e-06,47.0101,0.456424,-0.142889,0,-0.729648
49,-0.000303922,2.17158,0,39.8012,-2.0613e-06,45.776,0.128438,0,0,-0.000303922
50,-0.0010278,2.07826,0,38.759,-2.51223e-06,45.776,0.128438,0,0,-0.0010278
51,-0.00185468,2.22239,0,37.8052,-1.99584e-06,45.776,0.128438,0,0,-0.00185468
52,-3.42682e-05,2.6162,0,61.7583,-1.33543e-06,45.776,0.128438,0,0,-3.42682e-05
53,-5.59018e-06,2.9376,0,81.738,-9.27077e-07,45.776,0.128438,0,0,-5.59018e-06
54,-1.42401e-06,3.08601,0,101.136,-8.02475e-07,45.776,0.128438,0,0,-1.42401e-06
55,-0.000112378,2.29173,0,48.3494,-1.83226e-06,45.776,0.128438,0,0,-0.000112378
56,-0.369929,1.46269,0,22.8296,-6.15315e-06,42.6722,3.16295,-0.401013,0,-0.369929
57,-0.0100616,1.67054,0,25.5519,-3.2026e-06,45.4934,0.128438,-8.54864e-21,0,-0.0100616
58,-0.401825,1.58321,0,17.2836,-4.34091e-06,41.8895,0.209172,-0.00834451,0,-0.401825
59,-0.00554351,1.64989,0,20.3538,-3.74369e-06,45.776,0.128438,-1.29922e-36,0,-0.00554351
60,-1.89791e-06,3.01534,0,97.3881,-8.30606e-07,45.776,0.128438,0,0,-1.89791e-06
61,-2.05067e-05,2.56608,0,62.4331,-1.26828e-06,45.776,0.128438,0,0,-2.05067e-05
62,-6.67147e-06,2.84376,0,78.7506,-1.05024e-06,45.776,0.128438,0,0,-6.67147e-06
63,-0.00067888,2.12996,0,42.1937,-2.19729e-06,45.776,0.128438,0,0,-0.00067888
64,-0.079954,1.39478,0,19.7102,-5.42603e-06,39.7074,0.125446,-4.4445e-05,0,-0.079954
65,-0.000347855,2.28843,0,48.9346,-1.61541e-06,45.776,0.128438,0,0,-0.000347855
66,-0.00211009,1.93446,0,29.4794,-2.7784e-06,45.776,0.128438,0,0,-0.00211009
67,-0.000163051,2.38657,0,53.6943,-1.53113e-06,45.776,0.128438,0,0,-0.000163051
68,-1.22945,1.58163,0,20.1561,-5.48387e-06,40.5686,0.193256,-0.368682,0,-1.22945
69,-3.41106e-05,2.5373,0,61.4927,-1.40211e-06,45.776,0.128438,0,0,-3.41106e-05
70,-4.72574e-05,2.565,0,56.4664,-1.39075e-06,45.776,0.128438,0,0,-4.72574e-05
71,-2.38532,1.13396,0,11.7258,-6.06547e-06,43.9019,6.83317,-0.189658,-0.624669,-2.38532
72,-5.76909e-06,2.87833,0,80.3513,-1.01776e-06,45.776,0.128438,0,0,-5.76909e-06
73,-7.29531e-06,2.81094,0,80.2208,-1.02057e-06,45.776,0.128438,0,0,-7.29531e-06
74,-4.39781e-06,2.93305,0,83.6326,-9.66523e-07,45.776,0.128438,0,0,-4.39781e-06
75,-0.000757672,2.13508,0,42.5374,-1.86003e-06,45.776,0.128438,0,0,-0.000757672
76,-4.47559e-05,2.50684,0,58.9222,-1.48247e-06,45.776,0.128438,0,0,-4.47559e-05
77,-9.44899e-05,2.43581,0,53.2011,-1.58634e-06,45.776,0.128438,0,0,-9.44899e-05
78,-1.24515e-05,2.72136,0,73.7617,-1.11581e-06,45.776,0.128438,0,0,-1.24515e-05
79,-3.37698e-05,2.58409,0,59.9157,-1.38251e-06,45.776,0.128438,0,0,-3.37698e-05
80,-9.35823e-05,2.52279,0,52.3531,-1.37654e-06,45.776,0.128438,0,0,-9.35823e-05
81,-0.00172657,2.15048,0,34.7798,-2.15115e-06,45.776,0.128438,-2.4083e-40,0,-0.00172657
82,-1.13465e-05,2.73525,0,71.7231,-1.17018e-06,45.776,0.128438,0,0,-1.13465e-05
83,-2.75658e-06,2.97114,0,91.0858,-9.07755e-07,45.776,0.128438,0,0,-2.75658e-06
84,-8.04915e-06,2.88201,0,77.027,-9.76312e-07,45.776,0.128438,0,0,-8.04915e-06
85,-0.130731,1.48897,0,21.3089,-5.49693e-06,35.4762,0.127317,-1.34738e-05,0,-0.130731
86,-2.39941e-05,2.66176,0,62.6496,-1.28844e-06,45.776,0.128438,0,0,-2.39941e-05
87,-4.23763e-06,2.89544,0,86.9533,-9.2821e-07,45.776,0.128438,0,0,-4.23763e-06
88,-8.86303e-05,2.40133,0,54.5042,-1.48904e-06,45.776,0.128438,0,0,-8.86303e-05
89,-1.66949e-05,2.70884,0,67.2119,-1.20631e-06,45.776,0.128438,0,0,-1.66949e-05
90,-5.09356e-06,2.87927,0,82.3847,-9.81647e-07,45.776,0.128438,0,0,-5.09356e-06
91,-0.00333292,2.16249,0,35.0575,-2.08069e-06,45.776,0.128438,-2.13921e-31,0,-0.00333292
92,-1.02064,1.11397,6.34779e-25,12.5094,-7.49502e-06,29.7181,1.85516,-0.300429,0,-1.02064
93,-2.82122e-05,2.58383,0,64.7477,-1.29407e-06,45.776,0.128438,0,0,-2.82122e-05
94,-0.275508,1.76867,0,22.1037,-2.99462e-06,43.509,0.124436,-0.0096657,0,-0.275508
95,-1.50538e-05,2.77629,0,69.2454,-1.08494e-06,45.776,0.128438,0,0,-1.50538e-05
96,-0.124866,1.44119,0,14.4374,-4.49186e-06,40.3466,0.127801,-0.000316621,0,-0.124866
97,-7.67776e-06,2.80899,0,79.4973,-1.00765e-06,45.776,0.128438,0,0,-7.67776e-06
98,-4.77709e-06,2.95451,0,83.2818,-9.03537e-07,45.776,0.128438,0,0,-4.77709e-06
99,-0.000709519,2.23773,0,38.3992,-1.96201e-06,45.776,0.128438,0,0,-0.000709519
100,-8.55945e-05,2.44023,0,53.2631,-1.56679e-06,45.776,0.128438,0,0,-8.55945e-05
101,-0.0168818,2.00445,0,29.3585,-2.30529e-06,45.6346,0.128438,-1.08873e-21,0,-0.0168818
102,-8.2801e-06,2.82096,0,76.0327,-1.07874e-06,45.776,0.128438,0,0,-8.2801e-06
103,-1.57149e-05,2.67592,0,68.8783,-1.25106e-06,45.776,0.128438,0,0,-1.57149e-05
104,-2.08445e-05,2.63513,0,68.0061,-1.21802e-06,45.776,0.128438,0,0,-2.08445e-05
105,-5.64589e-06,2.89477,0,80.3432,-9.99155e-07,45.776,0.128438,0,0,-5.64589e-06
106,-1.1959e-05,2.7262,0,71.1556,-1.18115e-06,45.776,0.128438,0,0,-1.1959e-05
107,-2.94299e-06,3.02745,0,89.9222,-8.45317e-07,45.776,0.128438,0,0,-2.94299e-06
108,-3.70175e-06,2.91302,0,88.4186,-9.27649e-07,45.776,0.128438,0,0,-3.70175e-06
109,-1.4064,1.22794,1.54143e-44,10.8265,-2.33551e-06,41.7847,7.72131,-0.304935,-0.093891,-1.4064
110,-0.106036,1.04097,0,12.1363,-5.02929e-06,43.0114,0.125487,-1.25557e-05,0,-0.106036
111,-5.22406e-06,2.90955,0,81.7035,-9.78243e-07,45.776,0.128438,0,0,-5.22406e-06
112,-3.81912e-05,2.54653,0,62.5646,-1.31814e-06,45.776,0.128438,0,0,-3.81912e-05
113,-4.95833e-06,2.95031,0,82.8373,-9.13857e-07,45.776,0.128438,0,0,-4.95833e-06
114,-4.45319e-06,2.96394,0,84.3254,-8.81038e-07,45.776,0.128438,0,0,-4.45319e-06
115,-4.00659e-05,2.509,0,58.6024,-1.49001e-06,45.776,0.128438,0,0,-4.00659e-05
116,-0.000362378,2.17041,0,44.1223,-1.86443e-06,45.776,0.128438,0,0,-0.000362378
117,-4.04915e-06,2.91104,0,87.5624,-9.26507e-07,45.776,0.128438,0,0,-4.04915e-06
118,-8.13381e-05,2.55439,0,54.5389,-1.34095e-06,45.776,0.128438,0,0,-8.13381e-05
119,-5.88418e-06,2.85531,0,81.9864,-9.85146e-07,45.776,0.128438,0,0,-5.88418e-06
120,-5.9764e-06,2.90604,0,79.5865,-9.82961e-07,45.776,0.128438,0,0,-5.9764e-06
121,-3.89753e-06,2.92564,0,85.6726,-9.80535e-07,45.776,0.128438,0,0,-3.89753e-06
122,-4.31877e-06,2.95106,0,83.8332,-9.47586e-07,45.776,0.128438,0,0,-4.31877e-06
123,-2.19806e-05,2.64002,0,68.0547,-1.19685e-06,45.776,0.128438,0,0,-2.19806e-05
124,-0.00267795,1.98251,0,37.0653,-2.05915e-06,45.776,0.128438,-3.88707e-38,0,-0.00267795
125,-1.08415e-05,2.7705,0,73.6244,-1.10328e-06,45.776,0.128438,0,0,-1.08415e-05
126,-7.93163e-06,2.79871,0,76.6027,-1.07675e-06,45.776,0.128438,0,0,-7.93163e-06
127,-3.51317e-06,2.93677,0,89.4296,-9.0309e-07,45.776,0.128438,0,0,-3.51317e-06
128,-2.8107e-05,2.57931,0,64.4411,-1.24363e-06,45.776,0.128438,0,0,-2.8107e-05
129,-2.72724e-06,2.97579,0,91.0858,-9.00719e-07,45.776,0.128438,0,0,-2.72724e-06
130,-0.00271758,2.13588,0,34.3436,-2.26802e-06,45.776,0.128438,-1.58225e-33,0,-0.00271758
131,-0.0024104,1.96491,0,29.2319,-2.7068e-06,45.776,0.128438,0,0,-0.0024104
132,-0.0913902,1.58293,0,22.1181,-4.85206e-06,37.0681,0.126953,-4.81864e-06,0,-0.0913902
133,-4.60466e-05,2.60801,0,57.8691,-1.27775e-06,45.776,0.128438,0,0,-4.60466e-05
134,-1.16156e-05,2.77471,0,71.5762,-1.13337e-06,45.776,0.128438,0,0,-1.16156e-05
135,-1.60241e-05,2.7141,0,67.6645,-1.19152e-06,45.776,0.128438,0,0,-1.60241e-05
136,-6.28845e-05,2.45453,0,57.2633,-1.42113e-06,45.776,0.128438,0,0,-6.28845e-05
