rot 6.28
tra 1
temperature 0.5
total steps 12000
step,etot,elhm,ekde,edst,eele,epmf,ehpc,ehdb,epsp,evdw
0,-0.00029136,2.3346,0,46.9711,-3.52652e-05,45.776,0.128438,0,0,-0.00029136
1,-6.74489e-08,3.59807,0,168.557,-5.37778e-06,45.776,0.128438,0,0,-6.74489e-08
2,-4.8585e-09,4.02971,0,260.152,-2.89064e-06,45.776,0.128438,0,0,-4.8585e-09
3,-8.24992e-06,2.78574,0,72.784,-8.90053e-06,45.776,0.128438,0,0,-8.24992e-06
4,-0.0011322,2.3077,0,45.992,4.35636e-06,45.776,0.128438,0,0,-0.0011322
5,-3.423e-05,2.75801,0,70.5557,-1.5114e-06,45.776,0.128438,0,0,-3.423e-05
6,-5.54993e-07,3.15736,0,106.904,-1.91698e-06,45.776,0.128438,0,0,-5.54993e-07
7,-8.30575e-08,3.50468,0,151.584,-1.23436e-06,45.776,0.128438,0,0,-8.30575e-08
8,-2.5658e-06,2.9049,0,81.1517,-2.03329e-06,45.776,0.128438,0,0,-2.5658e-06
9,-2.32644e-07,3.366,0,136.543,-6.136e-07,45.776,0.128438,0,0,-2.32644e-07
10,-2.95732e-05,2.64483,0,65.9291,-1.48943e-06,45.776,0.128438,0,0,-2.95732e-05
11,-0.00016155,2.28471,0,48.9424,-1.76857e-06,45.776,0.128438,0,0,-0.00016155
12,-0.119182,0.955866,6.93737e-40,10.0329,-5.3995e-06,44.7443,0.127876,-2.93287e-07,0,-0.119182
13,-0.000301249,2.08454,0,40.3081,-2.12336e-06,45.776,0.128438,0,0,-0.000301249
14,-0.0196268,2.01473,0,35.2248,-1.53321e-06,44.015,0.128438,-3.48833e-17,0,-0.0196268
15,-0.000150733,2.39615,0,52.5192,-1.60444e-06,45.776,0.128438,0,0,-0.000150733
16,-6.89759e-05,2.48225,0,54.8533,-1.56352e-06,45.776,0.128438,0,0,-6.89759e-05
17,-0.0109082,1.51042,0,24.2055,-3.58656e-06,45.5405,0.128438,-1.26216e-18,0,-0.0109082
18,0.113314,1.08739,4.4236e-35,16.0477,-9.02423e-06,30.0701,2.90915,-0.424431,0,0.113314
19,-0.315841,1.01105,2.46905e-26,14.3458,-7.63998e-06,36.1962,0.151136,-0.0108205,0,-0.315841
20,-2.37475e-05,2.71339,0,64.5164,-1.17853e-06,45.776,0.128438,0,0,-2.37475e-05
21,-0.000198505,2.40147,0,46.6295,-1.71413e-06,45.776,0.128438,0,0,-0.000198505
22,-1.76997e-06,3.04207,0,100.095,-8.16561e-07,45.776,0.128438,0,0,-1.76997e-06
23,-0.0317409,0.916378,6.49936e-41,9.84727,-6.24342e-06,44.6968,0.128438,-1.23858e-14,0,-0.0317409
24,-0.000791621,2.2332,0,43.2322,-2.15217e-06,45.776,0.128438,0,0,-0.000791621
25,-3.29065e-07,3.33888,0,128.985,-6.08978e-07,45.776,0.128438,0,0,-3.29065e-07
26,-2.97761e-07,3.35117,0,131.679,-6.22395e-07,45.776,0.128438,0,0,-2.97761e-07
27,-1.64279e-06,3.07736,0,99.8065,-8.01932e-07,45.776,0.128438,0,0,-1.64279e-06
28,-3.26431e-06,2.95884,0,88.302,-9.20068e-07,45.776,0.128438,0,0,-3.26431e-06
29,-0.000374248,2.26586,0,46.7501,-1.79491e-06,45.776,0.128438,0,0,-0.000374248
30,-1.39155e-06,3.11121,0,101.316,-8.02449e-07,45.776,0.128438,0,0,-1.39155e-06
31,-1.03201e-08,3.91558,0,229.365,-3.47108e-07,45.776,0.128438,0,0,-1.03201e-08
32,-1.48937e-10,4.61759,0,463.835,-1.69253e-07,45.776,0.128438,0,0,-1.48937e-10
33,-4.06786e-10,4.44928,0,392.515,-1.99371e-07,45.776,0.128438,0,0,-4.06786e-10
34,-3.934e-07,3.29764,0,124.519,-6.53158e-07,45.776,0.128438,0,0,-3.934e-07
35,-2.84063e-07,3.38081,0,133.068,-6.0021e-07,45.776,0.128438,0,0,-2.84063e-07
36,-0.000376412,2.23967,0,43.1706,-2.07521e-06,45.776,0.128438,0,0,-0.000376412
37,-1.28778e-05,2.71175,0,72.9773,-1.13895e-06,45.776,0.128438,0,0,-1.28778e-05
38,-4.57088e-05,2.50673,0,60.2878,-1.39361e-06,45.776,0.128438,0,0,-4.57088e-05
39,-0.000543034,2.20818,0,39.55,-2.16806e-06,45.776,0.128438,0,0,-0.000543034
40,-0.0856636,1.44294,0,17.8058,-4.56918e-06,42.8706,0.126726,-8.71735e-06,0,-0.0856636
41,-0.000499232,2.20977,0,37.6848,-1.97927e-06,45.776,0.128438,0,0,-0.000499232
42,-1.74792,1.36118,0,13.4222,-3.30873e-06,34.4326,0.700583,-0.524753,0,-1.74792
43,-4.34781e-06,2.94288,0,83.7117,-9.51355e-07,45.776,0.128438,0,0,-4.34781e-06
44,-2.60698e-05,2.60145,0,62.9924,-1.35874e-06,45.776,0.128438,0,0,-2.60698e-05
45,-0.000257395,2.24325,0,43.8038,-2.09265e-06,45.776,0.128438,0,0,-0.000257395
46,-4.93098e-06,2.90715,0,82.2891,-9.94469e-07,45.776,0.128438,0,0,-4.93098e-06
47,-8.01976e-06,2.87557,0,76.586,-1.00023e-06,45.776,0.128438,0,0,-8.01976e-06
48,-2.13256e-06,3.00847,0,96.9225,-8.44348e-07,45.776,0.128438,0,0,-2.13256e-06
49,-3.78442e-06,2.91378,0,88.4707,-9.27429e-07,45.776,0.128438,0,0,-3.78442e-06
50,-3.4233e-06,2.99376,0,87.8606,-8.76207e-07,45.776,0.128438,0,0,-3.4233e-06
51,-2.73784e-06,3.03182,0,90.707,-8.56733e-07,45.776,0.128438,0,0,-2.73784e-06
52,-5.70438e-05,2.51171,0,55.5192,-1.51129e-06,45.776,0.128438,0,0,-5.70438e-05
53,-2.02949e-05,2.67603,0,65.4445,-1.26905e-06,45.776,0.128438,0,0,-2.02949e-05
54,-0.00135168,2.08736,0,33.2656,-2.40686e-06,45.776,0.128438,0,0,-0.00135168
55,-5.77433e-05,2.58339,0,56.1168,-1.36634e-06,45.776,0.128438,0,0,-5.77433e-05
56,-1.28837e-05,2.76809,0,69.9484,-1.16742e-06,45.776,0.128438,0,0,-1.28837e-05
57,-8.20487e-06,2.80279,0,75.9424,-1.09495e-06,45.776,0.128438,0,0,-8.20487e-06
58,-0.000185534,2.42285,0,47.3102,-1.55462e-06,45.776,0.128438,0,0,-0.000185534
59,-4.77967e-06,2.89055,0,83.0677,-9.78623e-07,45.776,0.128438,0,0,-4.77967e-06
60,-1.33181e-05,2.73335,0,71.2038,-1.12519e-06,45.776,0.128438,0,0,-1.33181e-05
61,-9.01437e-05,2.40737,0,54.9668,-1.52573e-06,45.776,0.128438,0,0,-9.01437e-05
62,-4.66366e-05,2.54883,0,57.2908,-1.44238e-06,45.776,0.128438,0,0,-4.66366e-05
63,-1.1885e-06,3.10956,0,106.56,-7.68033e-07,45.776,0.128438,0,0,-1.1885e-06
64,-2.53177e-06,3.03037,0,92.0555,-8.38245e-07,45.776,0.128438,0,0,-2.53177e-06
65,-7.58306e-06,2.79288,0,78.6321,-1.07064e-06,45.776,0.128438,0,0,-7.58306e-06
66,-1.7582e-05,2.71518,0,66.3792,-1.22286e-06,45.776,0.128438,0,0,-1.7582e-05
