id	pnp	pnr	pens	lna	lnb	lens
1a07C1	344	104	11	34	34	51
1a0qB1	658	205	11	23	23	51
1a28B1	830	249	11	23	26	2
1a42A1	837	256	11	23	24	50
1a4gA1	1267	390	11	23	23	46
1a4kB1	693	217	11	31	34	49
1aaqB1	310	99	11	41	41	51
1abeA1	989	305	11	10	10	2
1abeA2	989	305	11	10	10	2
1abfA1	989	305	11	11	11	13
1abfA2	989	305	11	11	11	13
1acjA1	1727	528	11	15	17	2
1aclA1	1724	527	11	18	17	51
1acmA1	1011	310	11	16	15	50
1aecA1	685	218	11	25	24	51
1ahaA1	797	246	11	10	11	1
1aoeB1	635	192	11	20	22	2
1aptA1	1001	323	11	35	34	47
1apuA1	1001	323	11	31	30	51
1aqwC1	675	209	11	20	19	51
1aseA1	1289	396	11	16	16	6
1atlB1	657	200	11	23	23	50
1azmA1	841	258	11	13	13	5
1b59A1	1159	355	11	21	22	51
1b9vA1	1264	390	11	25	26	51
1bbpA1	569	173	11	43	46	51
1bgoA1	692	215	11	34	36	51
1bl7A1	1161	351	11	25	28	40
1bmaA1	756	240	11	37	38	51
1bmqB1	297	88	11	38	40	49
1bybA1	1610	491	11	45	48	47
1c12B1	703	220	11	23	24	50
1c1eB1	703	219	11	19	21	1
1c5cB1	683	215	11	22	23	50
1c5xB1	812	248	11	13	14	3
1c83A1	1002	297	11	18	19	50
1cbsA1	454	137	11	22	22	51
1cf8B1	690	218	11	33	36	51
1cilA1	837	256	11	19	20	49
1cinA1	837	256	11	18	19	5
1ckpA1	922	279	11	18	20	3
1coyA1	1600	501	11	21	24	3
1cttA1	945	294	11	16	17	2
1d4pB1	825	250	11	27	30	51
1dbbB1	701	219	11	23	26	3
1dbmB1	701	219	11	31	34	51
1dg5A1	512	159	11	21	22	44
1dhfA1	607	182	11	32	34	51
1didB1	1270	393	11	11	11	3
1dmpB1	307	98	11	40	44	51
1dr1A1	620	186	11	17	18	2
1dwbB1	849	258	11	9	9	2
1dwcB1	849	258	11	35	37	51
1dwdB1	849	258	11	37	40	51
1dy9A1	544	175	11	35	34	51
1eapB1	683	216	11	23	23	51
1ebgB1	1400	436	11	9	8	2
1eedA1	1015	330	11	45	46	51
1ei1A1	1274	391	11	31	33	51
1ejnA1	807	247	11	25	28	48
1elaA1	756	240	11	32	33	50
1elbA1	756	240	11	33	33	50
1elcA1	756	240	11	36	37	51
1eldA1	756	240	11	33	34	50
1eleA1	756	240	11	29	29	50
1epbA1	497	151	11	22	22	47
1epoA1	1015	330	11	46	48	51
1etrB1	852	259	11	35	37	51
1etsB1	852	259	11	37	40	48
1ettB1	852	259	11	30	32	51
1f0rA1	771	234	11	31	35	51
1f0sA1	771	234	11	29	33	51
1f3dB1	703	220	11	15	16	2
1faxA1	773	235	11	33	36	51
1fenA1	588	177	11	19	19	51
1fgiB1	901	272	11	22	24	50
1fl3B1	686	214	11	23	24	51
1flrB1	695	217	11	25	28	3
1frpA1	1034	321	11	20	20	51
1ghbC1	293	95	11	18	19	51
1glpB1	679	209	11	23	22	51
1hdyB1	1188	374	11	6	6	1
1hefA1	309	99	11	48	49	51
1hfcA1	508	157	11	25	25	50
1hivB1	307	98	11	59	63	51
1hslB1	777	238	11	11	11	18
1htfB1	310	99	11	41	44	51
1htiB1	796	248	11	9	8	6
1hvrB1	307	98	11	46	52	51
1hytA1	1003	316	11	15	15	51
1icnA1	434	131	11	14	13	51
1idaB1	310	99	11	52	56	51
1imbA1	884	273	11	16	16	20
1ivcA1	1241	388	11	15	15	2
1iveA1	1241	388	11	14	14	2
1ivqB1	309	99	11	44	46	50
1lahA1	773	238	11	9	8	51
1lcpA1	1568	484	11	10	9	25
1ldmA1	1064	329	11	6	5	2
1licA1	422	130	11	20	19	51
1lmoA1	409	129	11	29	30	51
1lnaA1	1003	316	11	17	16	49
1lpmA1	1687	534	11	19	19	50
1lstA1	773	238	11	10	9	46
1lybB1	771	241	11	48	47	49
1lylA1	1606	482	11	9	8	51
1mcqB1	688	216	11	21	22	50
1mdrA1	1145	357	11	12	12	4
1ml1B1	776	241	11	9	8	2
1mldC1	992	313	11	13	12	48
1mmbA1	512	158	11	32	33	51
1mmqA1	530	166	11	33	35	50
1mncA1	508	158	11	25	25	51
1mrgA1	797	246	11	11	12	1
1mrkA1	799	247	11	19	21	3
1mtsA1	694	223	11	34	37	51
1mtwA1	694	223	11	33	36	51
1mupA1	522	157	11	9	9	2
1nsdA1	1267	390	11	20	20	50
1oklA1	833	255	11	17	18	2
1okmA1	841	257	11	18	18	51
1pbdA1	1283	391	11	10	10	3
1pdzA1	1397	433	11	9	8	2
1phaA1	1338	406	11	22	23	49
1phdA1	1335	405	11	11	12	2
1phfA1	1335	405	11	11	12	3
1phgA1	1335	405	11	17	18	47
1ppcA1	694	223	11	37	40	51
1pphA1	694	223	11	30	32	51
1ppiA1	1597	496	11	55	59	51
1psoA1	1017	326	11	48	47	51
1ptvA1	1002	297	11	17	17	51
1qbrB1	310	99	11	54	60	50
1qbtB1	310	99	11	62	70	51
1qbuB1	310	99	11	43	48	50
1qcfA1	1501	449	11	21	23	2
1qh7A1	660	206	11	10	10	2
1ql7A1	694	223	11	34	38	51
1qpeA1	899	270	11	21	23	2
1qpqA1	891	284	11	12	12	2
1rbpA1	580	175	11	21	21	51
1rdsA1	332	105	11	20	22	2
1rneA1	1059	330	11	51	53	45
1robA1	410	124	11	21	22	42
1slnA1	545	168	11	35	36	49
1sltA1	416	130	11	26	27	50
1srfA1	361	116	11	22	23	50
1srgA1	361	116	11	19	20	3
1srhA1	361	116	11	21	22	46
1srjB1	361	116	11	22	24	3
1stpA1	376	121	11	16	17	50
1tdbA1	1050	315	11	21	22	49
1tmnA1	1003	316	11	35	37	51
1tngA1	694	223	11	8	8	4
1tnhA1	694	223	11	9	9	2
1tniA1	694	223	11	11	11	18
1tnlA1	694	223	11	10	11	3
1tphB1	788	245	11	10	9	51
1tppA1	694	223	11	15	15	51
1ulbA1	945	289	11	11	12	1
1uvsB1	793	241	11	32	34	48
1uvtB1	813	247	11	27	29	51
1xidA1	1264	387	11	12	12	2
1xkbB1	775	235	11	29	31	51
1ydrA1	1126	334	11	20	22	50
1ydsA1	1126	334	11	18	19	50
1ydtA1	1126	334	11	27	29	50
2ackA1	1724	527	11	12	12	2
2adaA1	1161	349	11	19	21	3
2cgrB1	682	214	11	29	31	51
2cmdA1	982	312	11	13	12	51
2cppA1	1335	405	11	11	12	1
2dblB1	701	219	11	30	33	51
2gbpA1	996	309	11	12	12	37
2h4nA1	840	257	11	13	13	11
2ifbA1	434	131	11	18	17	51
2mcpB1	711	222	11	11	10	33
2mipC1	310	99	11	54	55	51
2mipD2	310	99	11	54	55	51
2pcpB1	687	215	11	18	20	48
2phhA1	1283	391	11	10	10	3
2qwkA1	1254	388	11	20	20	51
2simA1	1222	381	11	20	20	51
2tmnA1	1003	316	11	13	12	51
2yhxA1	1193	379	11	21	22	45
2ypiA1	793	247	11	9	8	8
3erdA1	822	248	11	20	21	14
3ertA1	832	251	11	29	31	51
3gchC1	293	95	11	12	12	2
3ptbA1	694	223	11	9	9	3
4aahC1	1828	571	11	24	26	3
4ctsB1	1430	437	11	9	8	2
4er2A1	1015	330	11	48	47	48
4estA1	756	240	11	36	37	51
4lbdA1	779	237	11	29	31	51
4phvB1	310	99	11	46	51	51
5abpA1	989	305	11	12	12	49
5abpA2	989	305	11	12	12	38
5cppA1	1335	405	11	11	13	1
5er1A1	1015	330	11	37	37	51
5p2pB1	387	119	11	28	27	51
6abpA1	988	305	11	11	11	2
7timA1	793	247	11	10	9	50
8gchC1	296	96	11	24	25	51
